intervalo,pontos_transmitidos,percentual_transmitido,temperatura_r2,temperatura_rmse,ph_r2,ph_rmse,ec_r2,ec_rmse,od_r2,od_rmse
1,0,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
2,0,0,0.9993492241017755,0.044031528592635344,0.589344114615167,0.3353987879208503,0.9985645538647314,0.026312486366276925,0.9998808632903274,0.013758114488755963
3,0,0,0.9985614427512932,0.06546536707079757,1.0,0.0,0.9909681959536085,0.06600178654903517,0.9991924821763076,0.035818894417317164
4,0,0,0.9972941423179086,0.08978432207126086,1.0,0.0,0.9959131568580618,0.044397899380350846,0.9976456852103391,0.06116012773441361
5,0,0,0.9959964169774282,0.10914688945755982,1.0,0.0,0.9652243481738499,0.13323891584537972,0.9949325823135975,0.08858059459684407
6,0,0,0.9920498780620408,0.15389869153516458,1.0,0.0,0.9503082703431158,0.1548140937644823,0.9911490951368437,0.11858505372089023
7,0,0,0.9849500360429807,0.21145752697477072,1.0,0.0,0.8969505773857969,0.22223925331562314,0.9857266548275877,0.15030540338162932
8,0,0,0.9735836362365441,0.2805333840950783,1.0,0.0,0.9536629630848148,0.14949703088990754,0.977810145577077,0.18776443937518514
9,0,0,0.9612305099030762,0.3396502890335584,1.0,0.0,0.7941474475894156,0.3241690728025651,0.9675859108298218,0.22403308071809108
10,0,0,0.9602832869788921,0.3528974147905496,1.0,0.0,0.907600387935872,0.22784997203444543,0.9469722819142097,0.26341588188503057
